地名,エリア,燃えるごみ,燃えないごみ,プラ容器,資源物、空ビン、蛍光管、危険ごみ
市場庄町,A,月 木,20160408 20160422 20160513 20160527 20160610 20160624 20160708 20160722 20160812 20160826 20160909 20160923 20161014 20161028 20161111 20161125 20161209 20161230 20170113 20170127 20170210 20170224 20170310 20170324,火,20160413 20160511 20160608 20160713 20160810 20160914 20161012 20161109 20161214 20170111 20170208 20170308
小津町,A,月 木,20160408 20160422 20160513 20160527 20160610 20160624 20160708 20160722 20160812 20160826 20160909 20160923 20161014 20161028 20161111 20161125 20161209 20161230 20170113 20170127 20170210 20170224 20170310 20170324,火,20160413 20160511 20160608 20160713 20160810 20160914 20161012 20161109 20161214 20170111 20170208 20170308
小野江町,B,月 木,20160408 20160422 20160513 20160527 20160610 20160624 20160708 20160722 20160812 20160826 20160909 20160923 20161014 20161028 20161111 20161125 20161209 20161230 20170113 20170127 20170210 20170224 20170310 20170324,火,20160427 20160525 20160622 20160727 20160824 20160928 20161026 20161116 20161228 20170125 20170222 20170322
笠松町,B,月 木,20160408 20160422 20160513 20160527 20160610 20160624 20160708 20160722 20160812 20160826 20160909 20160923 20161014 20161028 20161111 20161125 20161209 20161230 20170113 20170127 20170210 20170224 20170310 20170324,火,20160427 20160525 20160622 20160727 20160824 20160928 20161026 20161116 20161228 20170125 20170222 20170322
上ノ庄町,A,月 木,20160408 20160422 20160513 20160527 20160610 20160624 20160708 20160722 20160812 20160826 20160909 20160923 20161014 20161028 20161111 20161125 20161209 20161230 20170113 20170127 20170210 20170224 20170310 20170324,火,20160413 20160511 20160608 20160713 20160810 20160914 20161012 20161109 20161214 20170111 20170208 20170308
喜多村新田町,A,月 木,20160408 20160422 20160513 20160527 20160610 20160624 20160708 20160722 20160812 20160826 20160909 20160923 20161014 20161028 20161111 20161125 20161209 20161230 20170113 20170127 20170210 20170224 20170310 20170324,火,20160413 20160511 20160608 20160713 20160810 20160914 20161012 20161109 20161214 20170111 20170208 20170308
久米町,A,月 木,20160408 20160422 20160513 20160527 20160610 20160624 20160708 20160722 20160812 20160826 20160909 20160923 20161014 20161028 20161111 20161125 20161209 20161230 20170113 20170127 20170210 20170224 20170310 20170324,火,20160413 20160511 20160608 20160713 20160810 20160914 20161012 20161109 20161214 20170111 20170208 20170308
五主町,B,月 木,20160408 20160422 20160513 20160527 20160610 20160624 20160708 20160722 20160812 20160826 20160909 20160923 20161014 20161028 20161111 20161125 20161209 20161230 20170113 20170127 20170210 20170224 20170310 20170324,火,20160427 20160525 20160622 20160727 20160824 20160928 20161026 20161116 20161228 20170125 20170222 20170322
小舟江町,B,月 木,20160408 20160422 20160513 20160527 20160610 20160624 20160708 20160722 20160812 20160826 20160909 20160923 20161014 20161028 20161111 20161125 20161209 20161230 20170113 20170127 20170210 20170224 20170310 20170324,火,20160427 20160525 20160622 20160727 20160824 20160928 20161026 20161116 20161228 20170125 20170222 20170322
曽原町,A,月 木,20160408 20160422 20160513 20160527 20160610 20160624 20160708 20160722 20160812 20160826 20160909 20160923 20161014 20161028 20161111 20161125 20161209 20161230 20170113 20170127 20170210 20170224 20170310 20170324,火,20160413 20160511 20160608 20160713 20160810 20160914 20161012 20161109 20161214 20170111 20170208 20170308
中ノ庄町,A,月 木,20160408 20160422 20160513 20160527 20160610 20160624 20160708 20160722 20160812 20160826 20160909 20160923 20161014 20161028 20161111 20161125 20161209 20161230 20170113 20170127 20170210 20170224 20170310 20170324,火,20160413 20160511 20160608 20160713 20160810 20160914 20161012 20161109 20161214 20170111 20170208 20170308
中林町,A,月 木,20160408 20160422 20160513 20160527 20160610 20160624 20160708 20160722 20160812 20160826 20160909 20160923 20161014 20161028 20161111 20161125 20161209 20161230 20170113 20170127 20170210 20170224 20170310 20170324,火,20160413 20160511 20160608 20160713 20160810 20160914 20161012 20161109 20161214 20170111 20170208 20170308
中道町,A,月 木,20160408 20160422 20160513 20160527 20160610 20160624 20160708 20160722 20160812 20160826 20160909 20160923 20161014 20161028 20161111 20161125 20161209 20161230 20170113 20170127 20170210 20170224 20170310 20170324,火,20160413 20160511 20160608 20160713 20160810 20160914 20161012 20161109 20161214 20170111 20170208 20170308
西肥留町,B,月 木,20160408 20160422 20160513 20160527 20160610 20160624 20160708 20160722 20160812 20160826 20160909 20160923 20161014 20161028 20161111 20161125 20161209 20161230 20170113 20170127 20170210 20170224 20170310 20170324,火,20160427 20160525 20160622 20160727 20160824 20160928 20161026 20161116 20161228 20170125 20170222 20170322
甚目町,B,月 木,20160408 20160422 20160513 20160527 20160610 20160624 20160708 20160722 20160812 20160826 20160909 20160923 20161014 20161028 20161111 20161125 20161209 20161230 20170113 20170127 20170210 20170224 20170310 20170324,火,20160427 20160525 20160622 20160727 20160824 20160928 20161026 20161116 20161228 20170125 20170222 20170322
肥留町,B,月 木,20160408 20160422 20160513 20160527 20160610 20160624 20160708 20160722 20160812 20160826 20160909 20160923 20161014 20161028 20161111 20161125 20161209 20161230 20170113 20170127 20170210 20170224 20170310 20170324,火,20160427 20160525 20160622 20160727 20160824 20160928 20161026 20161116 20161228 20170125 20170222 20170322
星合町,B,月 木,20160408 20160422 20160513 20160527 20160610 20160624 20160708 20160722 20160812 20160826 20160909 20160923 20161014 20161028 20161111 20161125 20161209 20161230 20170113 20170127 20170210 20170224 20170310 20170324,火,20160427 20160525 20160622 20160727 20160824 20160928 20161026 20161116 20161228 20170125 20170222 20170322
舞出町,B,月 木,20160408 20160422 20160513 20160527 20160610 20160624 20160708 20160722 20160812 20160826 20160909 20160923 20161014 20161028 20161111 20161125 20161209 20161230 20170113 20170127 20170210 20170224 20170310 20170324,火,20160427 20160525 20160622 20160727 20160824 20160928 20161026 20161116 20161228 20170125 20170222 20170322
